CTRL #,REGION,CITY,BARANGAY,SEX,MARITAL STATUS,AGE,AGE BRACKET,FAMILY INCOME,CLASS,EMPLOYMENT STATUS,HIGHEST EDUCATIONAL ATTAINMENT,2.1-1,2.1-2,2.1-3,2.2-1,2.2-2,2.2-3,2.3-1,2.3-2,2.3-3,2.4-1,2.4-2,2.4-3,2.5-1,2.5-2,2.5-3,2.5-4,2.5-5,2.6-1,2.6-2,2.6-3,2.7-1,2.7-2,2.8,2.9-1,2.9-2,2.10-1,2.10-2,2.10-3,3.1-1,3.1-2,3.2.1-1,3.2.1-2,3.2.1-3,3.2.2-1,3.2.2-2,3.2.3-1,3.2.3-2,3.2.4-1,3.2.4-2,3.2.5-1,3.2.5-2,3.2.6-1,3.2.6-2,3.2.7-1,3.2.7-2,3.3,I 4.1.a-1,I 4.1.a-2,I 4.1.b-1,I 4.1.b-2,I 4.1.c-1,I 4.1.c-2,I 4.1.d-1,I 4.1.d-2,I 4.1.e-1,I 4.1.e-2,I 4.2.a-1,I 4.2.a-2,I 4.2.b-1,I 4.2.b-2,I 4.2.c-1,I 4.2.c-2,I 4.2.d-1,I 4.2.d-2,I 4.2.e-1,I 4.2.e-2,I 4.3.a-1,I 4.3.a-2,I 4.3.b-1,I 4.3.b-2,I 4.3.c-1,I 4.3.c-2,I 4.3.d-1,I 4.3.d-2,I 4.3.e-1,I 4.3.e-2,I 4.4.a-1,I 4.4.a-2,I 4.4.b-1,I 4.4.b-2,I 4.4.c-1,I 4.4.c-2,I 4.4.d-1,I 4.4.d-2,I 4.4.e-1,I 4.4.e-2,I 4.5.a-1,I 4.5.a-2,I 4.5.b-1,I 4.5.b-2,I 4.5.c-1,I 4.5.c-2,I 4.5.d-1,I 4.5.d-2,I 4.5.e-1,I 4.5.e-2,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,II 4.1.1,II 4.1.2,II 4.1.a,II 4.1.b,II 4.1.c,II 4.1.d,II 4.1.e,II 4.1.f,II 4.1.g,II 4.1.h,II 4.2.1,II 4.2.2,II 4.2.a,II 4.2.b,II 4.2.c,II 4.3.1,II 4.3.2,II 4.3.a,II 4.3.b,II 4.3.c,II 4.4.1,II 4.4.2,II 4.4.a,II 4.4.b,II 4.5.1,II 4.5.2,II 4.5.a,II 4.5.b,II 4.5.c,II 4.6.1,II 4.6.2,II 4.6.a,II 4.6.b,II 4.7.1,II 4.7.2,II 4.7.a,II 4.7.b,II 4.7.c,II 4.8.1,II 4.8.2,II 4.8.a,II 4.8.b,II 4.8.c,II 4.8.d,II 4.8.e,II 4.8.f,II 4.9.1,II 4.9.2,II 4.9.a,II 4.9.b,II 4.9.c,II 4.9.d,II 4.10.1,II 4.10.2,II 4.10.a,II 4.10.b,II 4.10.c,II 4.11.1,II 4.11.2,II 4.11.a,II 4.11.b,II 4.11.c,II 4.11.d,II 4.11.f,II 4.12.1,II 4.12.2,II 4.12.a,II 4.12.b,II 4.12.c,II 4.13.1,II 4.13.2,II 4.13.a,II 4.13.b,II 4.13.c,II 4.13.d,II 4.13.e,II 4.14.1,II 4.14.2,II 4.14.a,II 4.14.b,II 4.15.1,II 4.15.2,II 4.15.a,II 4.15.b,II 4.15.c,II 4.15.d,II 4.15.e,II 4.16.1,II 4.16.2,II 4.16.a,II 4.16.b,II 4.16.c,II 4.16.d,II 4.17.1,II 4.17.2,II 4.17.a,II 4.17.b,II 4.17.c,II 4.18.1,II 4.18.2,II 4.18.a,II 4.18.b,II 4.19.1,II 4.19.2,II 4.19.a,II 4.19.b,II 4.19.c,II 4.19.d,II 4.19.e,II 4.20.1,II 4.20.2,II 4.20.a,II 4.20.b,II 4.21.1,II 4.21.2,II 4.21.a,II 4.21.b,II 4.21.c,II 4.21.d,II 4.21.e,II 4.22.1,II 4.22.2,II 4.22.a,II 4.22.b,II 4.22.c,II 4.23.1,II 4.23.2,II 4.23.a,II 4.23.b,II 4.23.c,II 4.23.d,II 4.24.1,II 4.24.2,II 4.24.a,II 4.24.b,II 4.25.1,II 4.25.2,II 4.25.a,II 4.26.1,II 4.26.2,II 4.26.a,II 4.26.b,II 4.26.c,II 4.26.d,II 4.26.e,II 4.26.f,II 4.26.g,II 4.26.h,II 4.26.i
384,NCR – National Capital Region,Malabon City,Panghulo,Female,Single,21,,0,Poor,Student (Not Working),College Undergraduate,1,Buwan,,1,Buwan,,0,Linggo,,2,Linggo,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Manoag Crucifix- Virgin Mary,TRUE,0,Linggo,Sacred Heart of Jesus Parish - Tugatog,Immaculate Heart of Mary Parish,Immaculate Heart of Mary Parish,FALSE,,1,Buwan,Physical,1,Buwan,0,Linggo,1,Buwan,0,Linggo,1,Taon,0,Linggo,Immaculate Heart of Mary Parish,5,2,2,5,1,1,4,4,3,3,5,3,2,5,3,1,4,2,1,4,2,2,3,3,1,1,4,5,5,4,5,2,3,5,2,3,1,1,4,4,4,2,1,1,2,2,5,5,3,3,5,4,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,5,3,1,1,1,1,4,3,5,5,3,3,4,4,5,4,TRUE,3,5,4,4,4,5,4,4,4,TRUE,2,4,5,5,TRUE,3,5,5,5,FALSE,0,0,0,TRUE,2,5,5,5,TRUE,2,4,4,TRUE,2,4,4,4,TRUE,2,4,4,5,3,4,4,TRUE,2,4,5,5,4,TRUE,2,4,4,5,TRUE,2,4,5,5,4,5,TRUE,2,4,4,4,FALSE,1,2,0,0,0,0,TRUE,3,5,5,FALSE,1,0,0,0,0,0,TRUE,2,3,3,4,3,FALSE,1,0,0,0,TRUE,2,5,3,FALSE,1,0,0,0,0,0,TRUE,2,4,4,TRUE,2,4,3,3,4,3,TRUE,2,4,3,4,TRUE,2,3,3,3,3,TRUE,2,3,4,TRUE,2,3,TRUE,2,4,3,3,3,3,4,3,3,3
369,NCR – National Capital Region,Malabon City,Panghulo,Female,Married,46,,18000,Low-income but not poor,"No Job, Not Looking for Work",HighSchool Undergraduate,0,Buwan,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,HOLY FAMILY,TRUE,0,Linggo,Sacred Heart of Jesus Parish - Tugatog,IMMACULATE HEART OF MARY Parish MALABON,IMMACULATE HEART OF MARY Parish MALABON,FALSE,,1,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,IMMACULATE HEART OF MARY Parish MALABON,5,5,2,4,1,1,3,2,4,3,5,5,3,3,1,1,4,4,2,2,5,5,1,1,2,2,3,3,4,4,5,5,3,3,1,1,2,2,4,4,3,3,1,1,2,2,4,4,5,5,4,4,5,5,5,5,5,5,5,5,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,5,5,4,4,4,4,5,5,TRUE,2,5,3,5,5,5,5,5,5,TRUE,2,4,5,5,TRUE,2,5,5,5,TRUE,2,5,5,TRUE,2,5,5,5,FALSE,0,0,0,TRUE,1,3,3,3,FALSE,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,3,5,5,5,FALSE,0,0,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,2,5,5,TRUE,2,5,5,5,5,5,FALSE,0,0,0,TRUE,3,5,5,5,5,5,TRUE,2,3,3,5,TRUE,2,3,3,3,3,TRUE,3,5,5,TRUE,2,5,TRUE,2,5,5,5,5,5,5,5,5,5
367,NCR – National Capital Region,Malabon City,Panghulo,Female,Married,57,,20000,Low-income but not poor,Retired (Not Working) / Too Old to Work,College Graduate,0,Linggo,"BDAY,PASKO,1ST COMMUNION,HAHAHALAGANG OKASYON",0,Linggo,MINSan,0,Linggo,MADALAS,0,Linggo,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"STO. NINO, BVM",TRUE,0,Linggo,Sacred Heart of Jesus Parish - Tugatog,BAHAY NG MAHAL NA SENIOR BANGKULASI Navotas,IMMACULATE HEART OF MARY Parish MALABON/ San Bartolome Parish MALABON,FALSE,,1,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,1,Linggo,IMMACULATE HEART OF MARY Parish MALABON/ San Bartolome Parish MALABON,4,4,3,5,5,3,1,2,2,1,4,2,5,5,1,4,2,3,3,1,5,5,4,4,3,2,1,3,2,1,5,3,2,5,3,2,4,1,1,4,4,5,2,1,5,3,3,4,1,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,3,5,5,5,5,5,5,5,5,TRUE,3,5,5,4,4,4,5,4,3,FALSE,0,0,0,0,TRUE,2,5,5,4,TRUE,1,5,5,TRUE,3,5,4,4,TRUE,3,3,5,TRUE,3,4,5,3,TRUE,3,5,3,3,2,4,5,TRUE,3,5,5,4,5,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,2,4,4,3,FALSE,0,0,0,0,0,0,TRUE,0,4,5,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,2,1,5,TRUE,1,4,5,3,3,3,TRUE,1,3,5,TRUE,1,3,3,3,3,3,FALSE,0,0,0,0,TRUE,1,3,5,1,4,TRUE,3,3,3,TRUE,0,2,FALSE,0,0,0,0,0,0,0,0,0,0
362,NCR – National Capital Region,Malabon City,Panghulo,Female,Separated/Annulled,57,,0,Poor,Working At Least 40 Hours/Week,Elementary Undergraduate,0,Linggo,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,0,Linggo,Sacred Heart of Jesus Parish - Tugatog,,panghulo chapter,FALSE,,0,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,Immaculate heart of marry Parish,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,3,4,3,5,4,4,4,4,4,4,4,5,5,4,4,3,3,4,4,4,4,4,3,5,3,1,1,3,2,1,1,3,1,5,5,5,5,5,5,5,5,TRUE,1,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,FALSE,0,0,0,0,TRUE,1,0,0,TRUE,1,0,0,0,TRUE,1,0,0,TRUE,1,0,0,0,FALSE,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
370,NCR – National Capital Region,Malabon City,Panghulo,Female,Single,48,,20000,Low-income but not poor,"No Job, Not Looking for Work",Elementary Undergraduate,2,Buwan,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,POON,TRUE,2,Linggo,Sacred Heart of Jesus Parish - Tugatog,IMMACULATE HEART OF MARY Parish MALABON,IMMACULATE HEART OF MARY Parish MALABON/PANGHULO CHAPEL,FALSE,,0,Buwan,Physical,2,Buwan,0,Linggo,0,Linggo,0,Linggo,0,Linggo,2,Buwan,IMMACULATE HEART OF MARY Parish MALABON,5,5,4,4,1,1,3,3,2,2,4,5,3,4,5,3,1,1,2,2,5,5,1,1,4,4,3,3,2,2,3,3,2,2,1,1,4,4,5,5,5,5,1,2,2,2,4,4,3,3,5,5,5,5,4,4,5,5,5,5,3,3,4,4,5,5,4,4,4,4,5,5,5,5,5,5,1,1,2,2,1,1,3,3,3,3,5,5,5,5,5,5,5,5,TRUE,2,5,5,5,5,5,5,5,5,TRUE,1,0,0,0,TRUE,1,0,0,0,FALSE,0,0,0,TRUE,2,5,5,5,TRUE,1,0,0,TRUE,1,0,0,0,TRUE,1,3,4,5,4,3,5,TRUE,2,5,5,5,5,FALSE,0,0,0,0,TRUE,1,3,4,4,3,4,TRUE,2,5,5,5,TRUE,2,5,5,5,5,5,TRUE,1,0,0,TRUE,3,5,5,5,5,5,TRUE,3,3,3,5,3,TRUE,1,0,0,0,TRUE,3,5,5,TRUE,1,0,0,0,0,0,TRUE,2,3,5,TRUE,3,5,5,5,5,5,TRUE,3,5,5,5,TRUE,1,0,0,0,0,FALSE,1,5,0,TRUE,3,5,TRUE,3,5,5,5,5,5,5,5,5,5
375,NCR – National Capital Region,Malabon City,Panghulo,Female,Single,23,,14000,Low-income but not poor,"No Job, Not Looking for Work",HighSchool Undergraduate,1,Buwan,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Sto. Nino,FALSE,0,Linggo,Sacred Heart of Jesus Parish - Tugatog,Immaculate Heart of Mary Parish,Immaculate Heart of Mary Parish,FALSE,,1,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,1,Linggo,Immaculate Heart of Mary Parish,5,2,2,1,1,3,3,4,4,4,5,5,1,1,2,2,3,3,4,4,5,5,3,3,4,4,2,2,1,1,5,5,2,2,1,1,4,4,3,3,5,5,1,1,2,2,3,3,4,4,4,4,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,3,3,5,5,5,5,5,5,5,5,TRUE,2,5,5,5,5,5,5,5,5,TRUE,2,5,5,5,FALSE,0,0,0,0,TRUE,2,5,5,TRUE,3,5,5,5,FALSE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,TRUE,2,5,5,5,TRUE,2,3,5,5,5,5,TRUE,3,5,3,5,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,2,5,5,5,5,5,TRUE,2,5,5,5,5,FALSE,0,0,0,0,TRUE,3,5,5,FALSE,0,0,0,0,0,0,TRUE,2,5,5,TRUE,3,5,5,5,5,5,TRUE,2,5,5,5,TRUE,2,5,5,5,5,TRUE,2,5,5,TRUE,2,5,TRUE,2,5,5,5,5,5,5,5,5,5
381,NCR – National Capital Region,Malabon City,Panghulo,Female,Married,69,,0,Poor,Working At Least 40 Hours/Week,Elementary Undergraduate,1,Linggo,,1,Linggo,,2,Linggo,,2,Linggo,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,TRUE,2,Buwan,Sacred Heart of Jesus Parish - Tugatog,Quiapo,IMMACULATE HEART OF MARY Parish MALABON,FALSE,,4,Buwan,Physical,0,Linggo,1,Taon,2,Buwan,2,Taon,1,Taon,0,Linggo,IMMACULATE HEART OF MARY Parish MALABON,3,2,1,5,5,4,4,3,2,1,2,3,1,5,3,2,5,4,4,1,5,3,1,2,1,5,4,5,4,5,3,2,4,5,5,4,1,1,2,3,3,2,4,4,3,3,5,5,1,1,3,4,3,4,3,2,1,1,3,3,3,2,3,4,1,1,1,1,1,1,2,2,1,1,1,1,3,3,3,3,2,2,2,2,2,2,5,5,1,1,1,1,1,1,TRUE,3,4,4,4,4,5,4,4,4,TRUE,0,3,3,4,TRUE,0,3,4,4,TRUE,0,4,4,TRUE,0,4,4,4,TRUE,0,4,4,TRUE,0,3,3,3,TRUE,0,4,4,4,3,3,4,TRUE,3,4,4,3,3,TRUE,2,3,3,0,TRUE,1,3,3,3,2,2,TRUE,2,3,2,3,FALSE,0,0,0,0,0,0,TRUE,3,4,4,TRUE,2,2,2,2,2,3,TRUE,1,2,3,3,2,FALSE,0,0,0,0,TRUE,3,3,3,FALSE,0,0,0,0,0,0,TRUE,1,3,3,TRUE,3,3,4,4,3,3,TRUE,2,3,3,3,TRUE,1,4,0,2,3,TRUE,1,3,3,TRUE,1,4,TRUE,3,4,3,4,3,3,2,2,2,2
374,NCR – National Capital Region,Malabon City,Panghulo,Female,Married,42,,0,Poor,"No Job, Not Looking for Work",College Undergraduate,0,Linggo,,0,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,STO. KRISTO,TRUE,1,Buwan,Sacred Heart of Jesus Parish - Tugatog,,IMMACULATE HEART OF MARY Parish,FALSE,,0,Buwan,Physical,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,0,Linggo,IMMACULATE HEART OF MARY Parish,1,1,3,3,2,2,4,4,5,5,5,5,1,3,4,4,2,1,3,2,2,1,1,2,3,4,5,3,4,5,3,5,1,2,4,1,2,4,5,3,5,5,1,3,4,4,2,5,1,2,5,5,5,5,3,3,5,5,4,4,5,5,5,5,3,3,4,4,2,2,5,5,5,5,3,3,2,2,1,1,1,1,1,1,2,2,4,4,5,5,4,4,5,5,TRUE,2,5,5,5,5,5,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,TRUE,3,5,5,5,TRUE,3,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,5,5,5,FALSE,0,0,0,0,0,TRUE,3,5,5,5,TRUE,3,5,5,5,5,5,TRUE,3,5,5,5,TRUE,3,4,4,5,4,4,TRUE,3,4,5,TRUE,3,5,5,5,5,5,TRUE,3,5,5,5,5,TRUE,2,5,5,5,TRUE,3,5,5,TRUE,3,5,5,5,5,5,TRUE,3,5,5,TRUE,3,5,5,5,5,5,TRUE,3,5,5,5,TRUE,3,5,5,5,5,TRUE,3,5,5,TRUE,3,5,TRUE,3,5,5,5,5,5,5,5,5,5
361,NCR – National Capital Region,Malabon City,Santolan,Female,Single,51,,0,Poor,Retired (Not Working) / Too Old to Work,College Undergraduate,1,Linggo,ordinary mass,1,Linggo,,0,Linggo,,0,Linggo,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"holy family, mama mary, sto.nino, black nazarene",TRUE,1,Buwan,,immaculate heart of mary Parish,quaipo,FALSE,,3,Buwan,Physical,0,Linggo,1,Taon,1,Buwan,1,Taon,1,Taon,1,Linggo,immaculate heart of mary Parish,3,4,3,5,1,1,2,1,1,2,1,1,2,1,1,1,3,3,3,3,3,3,3,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,1,4,3,4,3,5,3,5,3,5,3,5,3,4,3,4,3,4,3,4,3,4,4,4,3,4,4,4,1,5,4,4,3,4,3,5,2,3,3,4,4,3,2,3,2,TRUE,3,3,4,5,5,5,5,5,4,TRUE,1,3,3,4,TRUE,2,4,3,3,TRUE,3,3,3,TRUE,3,3,3,3,TRUE,2,3,3,TRUE,2,3,3,3,TRUE,2,3,3,3,3,3,3,TRUE,2,3,3,3,3,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,TRUE,2,3,3,3,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,3,3,3,3,3,3,FALSE,0,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,3,3,3,3,3,3,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
359,NCR – National Capital Region,Malabon City,Santolan,Female,Married,35,,15000,Low-income but not poor,"No Job, Not Looking for Work",College Undergraduate,1,Linggo,1,0,Linggo,,1,Linggo,1,0,Linggo,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"STO. NINO, MAMA MARY",TRUE,1,Linggo,Sacred Heart of Jesus Parish - Tugatog,IMMACULATE HEART OF MARY Parish MALABON,IMMACULATE HEART OF MARY Parish MALABON,FALSE,,2,Buwan,Physical,1,Buwan,0,Linggo,1,Taon,0,Linggo,1,Taon,0,Linggo,IMMACULATE HEART OF MARY Parish MALABON,5,5,5,5,3,3,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,3,3,2,2,5,5,5,5,3,3,5,5,3,3,3,3,3,3,2,2,3,3,2,2,5,5,3,3,5,5,5,4,3,3,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,3,3,1,1,1,1,2,2,5,5,3,3,5,5,5,5,TRUE,3,5,5,5,5,5,5,5,4,TRUE,2,5,5,5,TRUE,2,5,5,5,TRUE,2,5,5,TRUE,2,5,5,5,TRUE,3,5,5,TRUE,1,5,5,5,TRUE,3,5,3,4,4,5,5,TRUE,1,4,5,4,4,TRUE,1,5,5,5,FALSE,0,0,0,0,0,0,TRUE,1,5,5,5,TRUE,1,4,4,3,3,3,TRUE,2,5,5,TRUE,2,5,5,5,5,5,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,2,5,5,FALSE,0,0,0,0,0,0,FALSE,0,0,0,TRUE,2,5,5,5,5,5,FALSE,0,0,0,0,TRUE,1,5,5,5,5,TRUE,2,5,0,TRUE,2,5,TRUE,2,5,5,5,5,5,5,5,5,5
358,NCR – National Capital Region,Malabon City,Santolan,Male,Married,44,,20000,Low-income but not poor,Working At Least 40 Hours/Week,College Undergraduate,4,Linggo,PISTA KAARAWAN HOLIDAYS,0,Linggo,3,0,Buwan,,0,Linggo,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"OUR LADY OF MANOG, FATIMA CRUCIFIX, STO. NINO",TRUE,5,Buwan,Sacred Heart of Jesus Parish - Tugatog,,IMMACULATE HEART OF MARY Parish MALABON,FALSE,,2,Buwan,Physical,4,Buwan,1,Taon,4,Buwan,5,Taon,3,Taon,4,Linggo,IMMACULATE HEART OF MARY Parish MALABON,3,4,5,5,3,3,4,3,5,5,4,3,5,5,4,5,3,4,4,4,5,5,3,4,4,4,4,4,4,4,5,5,5,5,4,4,4,3,3,4,4,5,3,3,3,2,3,3,4,4,5,3,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,TRUE,3,4,3,4,4,4,4,5,3,TRUE,2,4,5,4,TRUE,2,4,3,4,TRUE,1,3,3,TRUE,2,5,5,5,TRUE,1,5,4,TRUE,1,5,5,5,FALSE,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,TRUE,1,4,4,5,FALSE,0,0,0,0,0,0,TRUE,1,5,5,5,FALSE,0,0,0,0,0,0,TRUE,2,4,4,TRUE,2,4,4,3,3,5,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,2,4,3,FALSE,0,0,0,0,0,0,TRUE,1,3,4,TRUE,2,3,2,3,3,4,TRUE,2,4,3,4,TRUE,2,2,3,3,2,TRUE,2,4,5,TRUE,3,3,TRUE,2,3,4,4,3,5,5,3,4,4
356,NCR – National Capital Region,Malabon City,Santolan,Male,Single,42,,14000,Low-income but not poor,Working At Least 40 Hours/Week,HightSchool Graduate,3,Taon,,0,Linggo,,4,Taon,,0,Linggo,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"STO. NINO, VIRGIN MARY",TRUE,6,Taon,Sacred Heart of Jesus Parish - Tugatog,,IMMACULATE HEART OF MARY Parish MALABON,FALSE,,2,Buwan,Physical,0,Linggo,0,Linggo,2,Buwan,2,Taon,3,Taon,0,Linggo,IMMACULATE HEART OF MARY Parish MALABON,2,3,5,4,3,3,3,4,5,5,4,4,5,5,5,5,4,4,4,4,5,5,4,3,3,3,4,4,5,5,5,5,5,5,3,3,4,2,3,3,4,4,3,2,3,2,4,3,3,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,4,3,3,2,3,4,3,4,5,5,5,5,5,5,5,5,TRUE,2,5,4,4,4,4,5,4,3,TRUE,2,5,5,5,TRUE,2,5,4,4,FALSE,0,0,0,TRUE,2,4,5,5,FALSE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,0,0,TRUE,2,3,3,3,4,TRUE,1,5,5,5,TRUE,2,4,5,5,4,4,TRUE,1,5,5,5,FALSE,0,0,0,0,0,0,TRUE,2,3,4,TRUE,2,4,4,5,3,3,TRUE,2,4,4,4,5,TRUE,1,2,2,2,TRUE,2,4,4,TRUE,2,5,3,4,4,4,TRUE,1,5,5,TRUE,2,3,4,3,3,3,TRUE,2,4,3,4,TRUE,1,3,4,3,3,TRUE,2,3,5,TRUE,1,3,TRUE,2,5,5,5,5,5,4,3,4,4
357,NCR – National Capital Region,Malabon City,Santolan,Female,Married,38,,1000,Poor,Working At Least 40 Hours/Week,HightSchool Graduate,1,Linggo,,1,Linggo,,2,Linggo,2,0,Linggo,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"STO. NINO, LAST SUPPER",TRUE,1,Buwan,Sacred Heart of Jesus Parish - Tugatog,,IMMACULATE HEART OF MARY Parish MALABON,FALSE,,2,Buwan,Physical,1,Linggo,1,Taon,1,Taon,1,Buwan,1,Taon,0,Linggo,IMMACULATE HEART OF MARY Parish MALABON,3,3,2,3,3,2,2,1,1,1,1,1,3,1,3,2,3,2,3,1,3,3,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,2,2,2,1,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,5,3,5,4,3,3,4,4,3,4,4,4,5,4,5,4,4,4,5,3,TRUE,3,4,4,4,4,4,4,4,4,TRUE,3,4,4,4,TRUE,3,4,4,4,TRUE,2,4,4,TRUE,2,3,4,4,TRUE,2,3,3,TRUE,2,3,3,4,TRUE,2,4,4,4,4,4,4,TRUE,2,3,3,3,3,TRUE,2,4,4,4,TRUE,2,4,3,4,3,4,TRUE,2,4,4,4,TRUE,2,3,4,4,3,3,TRUE,2,3,4,FALSE,0,0,0,0,0,0,TRUE,2,3,4,4,4,FALSE,0,0,0,0,FALSE,0,0,0,TRUE,2,4,4,4,4,4,TRUE,2,4,4,FALSE,0,0,0,0,0,0,TRUE,2,4,4,4,TRUE,2,4,4,4,4,TRUE,2,4,4,FALSE,0,0,TRUE,2,4,4,4,4,4,4,4,4,4
